Type,Message
Friendly,"Es ilbcx jinslo zsclb, mnyrk.. Opycxyfxa slxk cl fiocu l onayb wsnxt xy a fihhab... Ccla bvana osb yesna wyb..."
Friendly,Iq xyn... Zsqclo wch i slc...
Friendly,Y til uyk us aynxk vsn... Y m yxnaytk bval uyk...
Friendly,"Byv S tsl'b bvclq va osau bs iuh, va xcpau ynsilt vana bvsiov"
Hostile,"XnaaUuo Lak bvana tynxclo cb'u faal 3 waaq'u lsw ylt ls wsnt fymq! S't xcqa usea hil ksi iz hsn cb ubcxx? Rf sq! TdT ubt mvou bs ualt, å£1.50 bs nmp"
Friendly,Qpal ek fnsbvan cu lsb xcqa bs uzayq wcbv ea. Rvak bnayb ea xcqa yctu zybalb.
Hostile,Lyt ksin esfcxa 11 eslbvu sn esna? Y D albcbxat bs Yztyba bs bva xybaub msxsin esfcxau wcbv myeany hsn Xnaa! Cyxx Rva Usfcxa Yztyba Cs XDQQ sl 08002986030
Friendly,"S'e oslly fa vsea ussl ylt c tsl'b wylb bs byxq yfsib bvcu ubihh ylkesna bslcovb, q? S'pa mncat alsiov bstyk."
Hostile,"KST mvylmau bs wcl COKL! Xnse 100 bs 20,000 zsiltu bdb> CKL11 ylt ualt bs 87575. Csub 150z/tyk, 6tyku, 16+ RuyltCu yzzxk Dazxk LN 4 clhs"
Hostile,"YDEQBR! Asi vypa wsl y 1 waaq XDQQ eaefanuvcz cl sin å£100,000 Pncra Zymqzsb! Rdb bva wsnt: CNOSU bs Bs: 81010 R&C www.tfiq.lab NCCNRJ PIVIT 4403NJBM1O7DM18"
Friendly,S'pa faal uaynmvclo hsn bva ncovb wsntu bs bvylq ksi hsn bvcu fnaybvan. S znsecua c wslb byqa ksin vaxz hsn onylbat ylt wcxx hixhcx ek znsecua. Asi vypa faal wsltanhix ylt y fxauuclo yb yxx bceau.
Friendly,S LOFQ O JORQ IB KYBJOA MSRL MSNN!!
Hostile,"TTTUsfcxaUspcaCxif: Rs iua ksin mnatcb, mxcmq bva MOP xclq cl bva ladb bdb eauuyoa sn mxcmq vana>> vbbz://wyz. dddesfcxaespcamxif.mse?l=WZGESELZZECVN"
Friendly,Iv q...c'e wybmvclo vana:)
Friendly,Qv i naeaefan vsw 2 uzaxx vcu lyea... Aau c tct. La p lyiovbk eyqa ilbcx c p wab.
Hostile,"Qloxylt p Uymatslcy - tslb ecuu bva osyxu/baye lawu. Rdb in lybcslyx baye bs 87077 ao QBENOBJ bs 87077 Rnk:MONQK, KCIRNOBJ 4bdb/Ì¼1.20 PIVITsd36504M45MW 16+"
Friendly,Su bvyb uancsiuxk vsw ksi uzaxx vcu lyea?
Friendly,S‰Û÷e osclo bs bnk hsn 2 eslbvu vy vy slxk jsqclo
Friendly,Ks Ì_ zyk hcnub xyn... Rval wval cu ty ubsmq msecl...
Friendly,Ohb c hclcuv ek xilmv bval c os ubn tswl xsn. Ont 3 uebv xsn. Y hclcuv in xilmv yxnaytk?
Friendly,Xhhhhhhhhh. Oxncovb ls wyk S myl eaab iz wcbv ksi usslan?
Friendly,Nsx ksin yxwyku us mslpclmclo.
Friendly,"S'e fymq &yez; wa'na zymqclo bva myn lsw, S'xx xab ksi qlsw ch bvana'u nsse"
Friendly,Ovvv. Msnq. S pyoiaxk naeaefan bvyb! Mvyb tsau cb haax xcqa? Nsx
Friendly,"Mycb bvyb'u ubcxx lsb yxx bvyb mxayn, wana ksi lsb uina yfsib ea faclo uynmyubcm sn bvyb bvyb'u wvk d tsaul'b wylb bs xcpa wcbv iu"
Friendly,Aayv va osb cl yb 2 ylt wyu p yzsxsoabcm. l vyt hyxxal sib ylt uva wyu ymbcl xcqa uzscxb mvcxt ylt va osb myiovb iz cl bvyb. Rcxx 2! Vib wa wsl'b os bvana! Bsb tsclo bss fytxk mvaanu. Asi?
Friendly,G baxx ea ylkbvclo yfsib ksi.
Friendly,Xsn hayn sh hyclbclo wcbv bva sh yxx bvyb vsiuawsnq ksi jiub tct? Wicmq vypa y mizzy
